Date,Adj Close,Close,High,Low,Open,Volume
1998/12/22,13.32763386,23.265625,23.390625,23.1875,23.3125,15200
1998/12/23,13.60510826,23.75,23.75,23.3125,23.34375,67800
1998/12/24,13.53349972,23.625,23.8125,23.59375,23.8125,12300
1998/12/28,13.4618988,23.5,23.75,23.34375,23.75,13500
1998/12/29,13.59615326,23.734375,23.734375,23.34375,23.5625,22000
1998/12/30,13.39029598,23.375,23.71875,23.359375,23.71875,21800
1998/12/31,13.37238598,23.34375,23.34375,23.21875,23.34375,13000
1999/1/4,13.3634367,23.328125,23.75,23.28125,23.28125,28600
1999/1/5,13.2918396,23.203125,23.46875,23.171875,23.46875,42700
1999/1/6,13.73041725,23.96875,24,23.3125,23.46875,56400
1999/1/7,13.6677599,23.859375,23.984375,23.578125,23.96875,72600
1999/1/8,13.73041725,23.96875,24.5625,23.375,24,421100
1999/1/11,13.47084999,23.515625,23.78125,23.4375,23.75,35000
1999/1/12,13.26497746,23.15625,23.59375,23.125,23.5,89200
1999/1/13,13.06806183,22.8125,23.1875,22.6875,22.75,42400
1999/1/14,12.81744576,22.375,22.875,22.375,22.75,70000
1999/1/15,13.01435757,22.71875,22.75,22.453125,22.5625,10700
1999/1/19,13.01435757,22.71875,22.8125,22.53125,22.8125,12800
1999/1/20,12.90695,22.53125,22.8125,22.515625,22.59375,15800
1999/1/21,13.01435757,22.71875,22.90625,22.5,22.53125,23900
1999/1/22,12.94275284,22.59375,22.8125,22.5625,22.75,19300
1999/1/25,12.92485237,22.5625,22.6875,22.375,22.6875,18200
1999/1/26,12.79954529,22.34375,22.59375,22.15625,22.59375,25700
1999/1/27,12.56682205,21.9375,22.375,21.875,22.375,37100
1999/1/28,12.49521828,21.8125,22,21.625,22,30800
1999/1/29,12.49521828,21.8125,21.8125,21.4375,21.6875,18600
1999/2/1,12.36990356,21.59375,21.875,21.59375,21.8125,23100
1999/2/2,12.38780689,21.625,21.8125,21.53125,21.625,26500
1999/2/3,12.67423248,22.125,22.25,21.75,21.75,29400
1999/2/4,12.7458477,22.25,22.3125,22.0625,22.125,26000
1999/2/5,13.10386658,22.875,22.9375,22.1875,22.3125,66000
1999/2/8,13.28288078,23.1875,23.1875,22.9375,22.96875,31100
1999/2/9,13.03226376,22.75,23.21875,22.75,23.21875,64300
1999/2/10,13.06806183,22.8125,23.0625,22.6875,22.84375,69300
1999/2/11,12.96065521,22.625,22.71875,22.28125,22.71875,216800
1999/2/12,12.69213009,22.15625,22.625,22.15625,22.375,242300
1999/2/16,12.60262394,22,22.4375,21.78125,22.328125,36600
1999/2/17,12.47732067,21.78125,22.09375,21.75,21.875,41700
1999/2/18,12.51311874,21.84375,21.96875,21.53125,21.75,83000
1999/2/19,12.4415102,21.71875,21.96875,21.53125,21.9375,130300
1999/2/22,12.56682205,21.9375,22,21.6875,21.875,79500
1999/2/23,12.45941639,21.75,22.09375,21.75,22,309600
1999/2/24,12.40571308,21.65625,22.09375,21.65625,21.8125,34500
1999/2/25,12.46836662,21.765625,21.90625,21.625,21.640625,44600
1999/2/26,12.38780689,21.625,22,21.625,21.84375,24900
1999/3/1,12.26249981,21.40625,21.6875,21.34375,21.671875,13300
1999/3/2,12.13718796,21.1875,21.53125,21.09375,21.4375,55100
1999/3/3,12.40571308,21.65625,21.75,21.21875,21.375,103300
1999/3/4,12.85324287,22.4375,22.5625,21.84375,21.84375,90400
1999/3/5,13.0949192,22.859375,23.03125,22.625,23,92700
1999/3/8,13.28288078,23.1875,23.25,22.890625,22.984375,107600
1999/3/9,13.13967228,22.9375,23.3125,22.84375,22.9375,79000
1999/3/10,13.89153671,24.25,24.3125,23.03125,23.03125,1733800
1999/3/11,14.08845425,24.59375,25.25,24.25,25,909000
1999/3/12,14.03474712,24.5,25.0625,24.25,24.875,604300
1999/3/15,13.92733192,24.3125,24.625,24.015625,24.5625,523000
1999/3/16,13.85573578,24.1875,24.3125,24,24.09375,273300
1999/3/17,14.21375656,24.8125,24.84375,24.25,24.3125,362800
1999/3/18,14.39277267,25.125,25.3125,24.9375,25.25,332600
1999/3/19,14.24688721,24.78125,25.28125,24.625,25.25,260400
1999/3/22,14.33672142,24.9375,25.125,24.734375,25,165000
1999/3/23,14.08520222,24.5,24.75,24.25,24.75,137900
1999/3/24,14.01333809,24.375,24.71875,24.15625,24.625,61100
1999/3/25,14.049263,24.4375,24.5625,24.0625,24.3125,166500
1999/3/26,14.2289257,24.75,24.875,24.46875,24.6875,44700
1999/3/29,14.62416649,25.4375,25.6875,25.34375,25.375,84400
1999/3/30,14.35468292,24.96875,25.3125,24.90625,25.28125,60800
1999/3/31,14.13910198,24.59375,25.1875,24.59375,25.15625,67000
1999/4/1,14.12113094,24.5625,24.65625,24.296875,24.625,22000
1999/4/5,14.46247673,25.15625,25.25,24.5625,24.5625,58400
1999/4/6,14.3187542,24.90625,25.125,24.71875,25.09375,42600
1999/4/7,14.17502403,24.65625,24.90625,24.46875,24.875,836400
1999/4/8,14.3187542,24.90625,25.1875,24.671875,24.765625,852300
1999/4/9,14.58824062,25.375,25.5,24.890625,24.921875,52400
1999/4/12,14.69603825,25.5625,25.75,25.25,25.25,62500
1999/4/13,14.67806339,25.53125,25.734375,25.40625,25.40625,67800
