Date,Adj Close,Close,High,Low,Open,Volume
2001/1/2,237.0599976,237.0599976,237.0599976,237.0599976,237.0599976,0
2001/1/3,226.0700073,226.0700073,226.0700073,226.0700073,226.0700073,0
2001/1/4,215.9700012,215.9700012,215.9700012,215.9700012,215.9700012,0
2001/1/5,219.3999939,219.3999939,219.3999939,219.3999939,219.3999939,0
2001/1/8,223.8600006,223.8600006,223.8600006,223.8600006,223.8600006,0
2001/1/9,224.8099976,224.8099976,224.8099976,224.8099976,224.8099976,0
2001/1/10,224.1300049,224.1300049,224.1300049,224.1300049,224.1300049,0
2001/1/11,219.1499939,219.1499939,219.1499939,219.1499939,219.1499939,0
2001/1/12,217.1199951,217.1199951,217.1199951,217.1199951,217.1199951,0
2001/1/16,220.9199982,220.9199982,220.9199982,220.9199982,220.9199982,0
2001/1/17,219.6300049,219.6300049,219.6300049,219.6300049,219.6300049,0
2001/1/18,219.8899994,219.8899994,219.8899994,219.8899994,219.8899994,0
2001/1/19,216.6999969,216.6999969,216.6999969,216.6999969,216.6999969,0
2001/1/22,218.1100006,218.1100006,218.1100006,218.1100006,218.1100006,0
2001/1/23,218.5500031,218.5500031,218.5500031,218.5500031,218.5500031,0
2001/1/24,219.4799957,219.4799957,219.4799957,219.4799957,219.4799957,0
2001/1/25,220.9799957,220.9799957,220.9799957,220.9799957,220.9799957,0
2001/1/26,219.6499939,219.6499939,219.6499939,219.6499939,219.6499939,0
2001/1/29,217.9600067,217.9600067,217.9600067,217.9600067,217.9600067,0
2001/1/30,221.75,221.75,221.75,221.75,221.75,0
2001/1/31,223.1199951,223.1199951,223.1199951,223.1199951,223.1199951,0
2001/2/1,226.1000061,226.1000061,226.1000061,226.1000061,226.1000061,0
2001/2/2,225.6799927,225.6799927,225.6799927,225.6799927,225.6799927,0
2001/2/5,226.8699951,226.8699951,226.8699951,226.8699951,226.8699951,0
2001/2/6,226.8300018,226.8300018,226.8300018,226.8300018,226.8300018,0
2001/2/7,230.3300018,230.3300018,230.3300018,230.3300018,230.3300018,0
2001/2/8,231.3500061,231.3500061,231.3500061,231.3500061,231.3500061,0
2001/2/9,231.1100006,231.1100006,231.1100006,231.1100006,231.1100006,0
2001/2/12,232.0099945,232.0099945,232.0099945,232.0099945,232.0099945,0
2001/2/13,231.6199951,231.6199951,231.6199951,231.6199951,231.6199951,0
2001/2/14,227.2700043,227.2700043,227.2700043,227.2700043,227.2700043,0
2001/2/15,226.9900055,226.9900055,226.9900055,226.9900055,226.9900055,0
2001/2/16,230.4600067,230.4600067,230.4600067,230.4600067,230.4600067,0
2001/2/20,232.9700012,232.9700012,232.9700012,232.9700012,232.9700012,0
2001/2/21,229.0500031,229.0500031,229.0500031,229.0500031,229.0500031,0
2001/2/22,227.0399933,227.0399933,227.0399933,227.0399933,227.0399933,0
2001/2/23,224.4100037,224.4100037,224.4100037,224.4100037,224.4100037,0
2001/2/26,223.7899933,223.7899933,223.7899933,223.7899933,223.7899933,0
2001/2/27,225.2899933,225.2899933,225.2899933,225.2899933,225.2899933,0
2001/2/28,225.7700043,225.7700043,225.7700043,225.7700043,225.7700043,0
2001/3/1,224.4100037,224.4100037,224.4100037,224.4100037,224.4100037,0
2001/3/2,225.4400024,225.4400024,225.4400024,225.4400024,225.4400024,0
2001/3/5,224.2599945,224.2599945,224.2599945,224.2599945,224.2599945,0
2001/3/6,221.9199982,221.9199982,221.9199982,221.9199982,221.9199982,0
2001/3/7,223.5800018,223.5800018,223.5800018,223.5800018,223.5800018,0
2001/3/8,228.1399994,228.1399994,228.1399994,228.1399994,228.1399994,0
2001/3/9,227.2299957,227.2299957,227.2299957,227.2299957,227.2299957,0
2001/3/12,223.0299988,223.0299988,223.0299988,223.0299988,223.0299988,0
2001/3/13,220.0399933,220.0399933,220.0399933,220.0399933,220.0399933,0
2001/3/14,216.1100006,216.1100006,216.1100006,216.1100006,216.1100006,0
2001/3/15,215,215,215,215,215,0
