Date,energy,material,industrial,consumer_discretionary,consumer_staple,health_care,financial,IT,telecom,utility,real_estate
2017/3/28,63.73619016,77.3520125,95.1849012,168.6323466,78.03471911,109.3949625,84.98159638,71.53677727,120.6640728,55.53484183,98.96242102
2017/3/29,64.8500002,77.51236858,95.10980564,169.629751,78.1237185,109.7283216,84.55502647,71.4735252,121.655184,55.30711871,99.29091664
2017/3/30,64.58190382,77.50914042,95.5538308,170.2130795,77.76259315,109.676971,85.54569042,71.52794236,122.0122213,54.97356428,99.43767554
2017/3/31,64.81380967,78.04299797,95.32383629,170.2772423,77.64184445,109.516083,85.27683221,71.48558225,121.8151847,55.13406767,99.85777434
2017/4/3,64.63428579,77.63376948,94.97253671,169.5323184,77.47121829,109.6608387,84.91897355,71.14082633,122.3429619,55.09718504,99.99168113
2017/4/4,65.25190462,77.93101447,95.10763201,168.9945272,77.59612459,109.348517,84.79904477,71.00598608,122.1392592,55.26673179,99.82031059
2017/4/5,64.81190491,77.64956645,94.68444324,168.5351671,77.50937504,108.855519,84.21309379,70.77744765,121.753331,55.51381381,100.0328561
2017/4/6,65.41714332,78.13126349,95.06988034,168.8900846,77.78962511,109.3070131,84.67173596,71.1330405,121.6088878,55.46635246,100.4885076
2017/4/7,65.22619075,78.39340649,95.19685649,167.9339463,77.84721828,109.4287377,84.51616988,71.24823745,121.1070354,55.25699139,100.6083389
2017/4/10,65.74857149,78.30793142,95.47517999,168.6827374,77.95590669,109.2318962,84.39293399,71.14318295,121.1381478,55.38446098,101.2424948
2017/4/11,65.79095205,78.28822916,95.67543526,169.2536539,77.93890691,109.1891352,84.3621868,71.06931235,121.0659248,55.42578207,101.6977005
2017/4/12,65.39618983,77.16903247,94.29627962,168.3357587,78.18062532,108.8875356,83.66193507,70.40105895,121.1711125,55.77990423,101.468606
2017/4/13,64.20285679,76.51650923,93.61485993,167.7254327,77.68346852,108.6899789,82.81780046,70.11975007,120.6555547,55.56594214,101.2841402
2017/4/17,64.40571404,77.16064583,94.62180433,169.608187,78.21090484,109.1033702,84.10472671,70.828222,122.1103693,55.89720318,102.5085476
2017/4/18,63.69761948,77.14266126,93.98139048,169.5638821,78.71746933,108.2970626,83.51713074,70.91327504,121.7937036,55.97599207,102.7340478
2017/4/19,62.53761932,77.29649782,94.03390434,170.2401351,78.36887515,109.1617731,83.42348208,71.20153927,122.2622231,55.60385839,102.5251472
2017/4/20,62.6576192,78.3030715,95.0128621,169.6154641,78.28456247,109.9482306,84.50729276,71.97197491,122.9933345,55.26763929,102.4963887
2017/4/21,62.5471433,78.25065701,95.18363118,169.8283145,77.99775004,109.4529023,83.99020171,71.82110872,122.9781486,55.5689249,102.0351534
2017/4/24,62.94476191,79.29654435,96.58341649,171.5357773,78.63224959,110.492535,85.48478888,72.81892804,124.7470363,55.82800332,101.2262044
2017/4/25,63.69619092,79.9372547,97.08839896,171.6196987,78.81893694,111.3545825,86.05168343,73.2198418,126.2466678,55.82690814,101.6833871
2017/4/26,63.41809541,79.86559585,96.96545532,172.4989666,78.27743793,111.8513829,86.39143433,72.94418159,126.3666665,55.65571104,101.0043609
2017/4/27,62.66714291,80.34780145,96.89313234,173.6135742,78.23168749,112.1573512,86.15088794,73.33710367,126.9548139,55.80660383,100.8346894
2017/4/28,62.61999979,79.64524542,96.28738189,173.0491761,78.24737483,112.9590819,85.22119122,72.93252679,129.0711125,55.53666164,100.8386841
2017/5/1,62.44333285,79.86165193,95.92388293,173.8135527,77.83603215,113.4799313,85.50762349,73.30313768,129.7940757,55.1822764,101.3830893
2017/5/2,62.02428568,80.46475775,96.43166187,174.675142,77.38687479,114.1413325,85.43051063,73.3942979,129.882964,55.31124473,101.5409309
