Date,Adj Close,Close,High,Low,Open,Volume
1999/12/31,159.9600067,159.9600067,159.9600067,159.9600067,159.9600067,0
2000/1/3,157.2400055,157.2400055,157.2400055,157.2400055,157.2400055,0
2000/1/4,154.75,154.75,154.75,154.75,154.75,0
2000/1/5,160.8800049,160.8800049,160.8800049,160.8800049,160.8800049,0
2000/1/6,165.6000061,165.6000061,165.6000061,165.6000061,165.6000061,0
2000/1/7,166.9700012,166.9700012,166.9700012,166.9700012,166.9700012,0
2000/1/10,164.5200043,164.5200043,164.5200043,164.5200043,164.5200043,0
2000/1/11,162.0700073,162.0700073,162.0700073,162.0700073,162.0700073,0
2000/1/12,161.3500061,161.3500061,161.3500061,161.3500061,161.3500061,0
2000/1/13,161,161,161,161,161,0
2000/1/14,160.3300018,160.3300018,160.3300018,160.3300018,160.3300018,0
2000/1/18,155.75,155.75,155.75,155.75,155.75,0
2000/1/19,154.3099976,154.3099976,154.3099976,154.3099976,154.3099976,0
2000/1/20,150.3800049,150.3800049,150.3800049,150.3800049,150.3800049,0
2000/1/21,149,149,149,149,149,0
2000/1/24,146.2799988,146.2799988,146.2799988,146.2799988,146.2799988,0
2000/1/25,143.4799957,143.4799957,143.4799957,143.4799957,143.4799957,0
2000/1/26,143.7400055,143.7400055,143.7400055,143.7400055,143.7400055,0
2000/1/27,144.0099945,144.0099945,144.0099945,144.0099945,144.0099945,0
2000/1/28,141.6900024,141.6900024,141.6900024,141.6900024,141.6900024,0
2000/1/31,141.0599976,141.0599976,141.0599976,141.0599976,141.0599976,0
2000/2/1,143.5500031,143.5500031,143.5500031,143.5500031,143.5500031,0
2000/2/2,143.6199951,143.6199951,143.6199951,143.6199951,143.6199951,0
2000/2/3,142.4700012,142.4700012,142.4700012,142.4700012,142.4700012,0
2000/2/4,141.9499969,141.9499969,141.9499969,141.9499969,141.9499969,0
2000/2/7,139.3999939,139.3999939,139.3999939,139.3999939,139.3999939,0
2000/2/8,137.8999939,137.8999939,137.8999939,137.8999939,137.8999939,0
2000/2/9,136,136,136,136,136,0
2000/2/10,134.7899933,134.7899933,134.7899933,134.7899933,134.7899933,0
2000/2/11,132.2100067,132.2100067,132.2100067,132.2100067,132.2100067,0
2000/2/14,133.8099976,133.8099976,133.8099976,133.8099976,133.8099976,0
2000/2/15,138.3800049,138.3800049,138.3800049,138.3800049,138.3800049,0
2000/2/16,136.4600067,136.4600067,136.4600067,136.4600067,136.4600067,0
2000/2/17,135.7400055,135.7400055,135.7400055,135.7400055,135.7400055,0
2000/2/18,132.0399933,132.0399933,132.0399933,132.0399933,132.0399933,0
2000/2/22,135.8899994,135.8899994,135.8899994,135.8899994,135.8899994,0
2000/2/23,133.1199951,133.1199951,133.1199951,133.1199951,133.1199951,0
2000/2/24,129.6499939,129.6499939,129.6499939,129.6499939,129.6499939,0
2000/2/25,127.3700027,127.3700027,127.3700027,127.3700027,127.3700027,0
2000/2/28,128.0099945,128.0099945,128.0099945,128.0099945,128.0099945,0
2000/2/29,127.1900024,127.1900024,127.1900024,127.1900024,127.1900024,0
2000/3/1,124.8300018,124.8300018,124.8300018,124.8300018,124.8300018,0
2000/3/2,121.8000031,121.8000031,121.8000031,121.8000031,121.8000031,0
2000/3/3,127,127,127,127,127,0
2000/3/6,123.6900024,123.6900024,123.6900024,123.6900024,123.6900024,0
2000/3/7,119.0199966,119.0199966,119.0199966,119.0199966,119.0199966,0
2000/3/8,121.5500031,121.5500031,121.5500031,121.5500031,121.5500031,0
2000/3/9,122.0800018,122.0800018,122.0800018,122.0800018,122.0800018,0
2000/3/10,122.5699997,122.5699997,122.5699997,122.5699997,122.5699997,0
2000/3/13,124.6699982,124.6699982,124.6699982,124.6699982,124.6699982,0
2000/3/14,121.7900009,121.7900009,121.7900009,121.7900009,121.7900009,0
2000/3/15,130.0399933,130.0399933,130.0399933,130.0399933,130.0399933,0
2000/3/16,137.75,137.75,137.75,137.75,137.75,0
2000/3/17,132.8999939,132.8999939,132.8999939,132.8999939,132.8999939,0
2000/3/20,135.1799927,135.1799927,135.1799927,135.1799927,135.1799927,0
2000/3/21,136.8899994,136.8899994,136.8899994,136.8899994,136.8899994,0
2000/3/22,132.7700043,132.7700043,132.7700043,132.7700043,132.7700043,0
2000/3/23,136.3999939,136.3999939,136.3999939,136.3999939,136.3999939,0
2000/3/24,136.3999939,136.3999939,136.3999939,136.3999939,136.3999939,0
2000/3/27,135.0700073,135.0700073,135.0700073,135.0700073,135.0700073,0
2000/3/28,133.5700073,133.5700073,133.5700073,133.5700073,133.5700073,0
2000/3/29,135.2899933,135.2899933,135.2899933,135.2899933,135.2899933,0
2000/3/30,138.75,138.75,138.75,138.75,138.75,0
2000/3/31,139.5899963,139.5899963,139.5899963,139.5899963,139.5899963,0
2000/4/3,144.0500031,144.0500031,144.0500031,144.0500031,144.0500031,0
2000/4/4,143.25,143.25,143.25,143.25,143.25,0
2000/4/5,141.2799988,141.2799988,141.2799988,141.2799988,141.2799988,0
2000/4/6,141.2299957,141.2299957,141.2299957,141.2299957,141.2299957,0
2000/4/7,138.9100037,138.9100037,138.9100037,138.9100037,138.9100037,0
2000/4/10,141.9900055,141.9900055,141.9900055,141.9900055,141.9900055,0
2000/4/11,145.5700073,145.5700073,145.5700073,145.5700073,145.5700073,0
2000/4/12,148.3800049,148.3800049,148.3800049,148.3800049,148.3800049,0
2000/4/13,144.7299957,144.7299957,144.7299957,144.7299957,144.7299957,0
2000/4/14,137.5800018,137.5800018,137.5800018,137.5800018,137.5800018,0
2000/4/17,137.6799927,137.6799927,137.6799927,137.6799927,137.6799927,0
2000/4/18,134.0500031,134.0500031,134.0500031,134.0500031,134.0500031,0
2000/4/19,132.7899933,132.7899933,132.7899933,132.7899933,132.7899933,0
2000/4/20,135.1900024,135.1900024,135.1900024,135.1900024,135.1900024,0
