Date,energy,material,industrial,consumer_discretionary,consumer_staple,health_care,financial,IT,telecom,utility,real_estate
2018/6/19,74.73999786,58.49000168,73.23000336,111.779999,51.060001,84.860001,27.35000038,71.43000031,49.95999908,50.18999863,31.5
2018/6/20,75.06999969,58.29999924,73.27999878,112.309998,51.110001,85.040001,27.28000069,71.58000183,50.58000183,50.22999954,31.84000015
2018/6/21,73.68000031,57.68000031,72.36000061,111.510002,51.209999,84.550003,27.20000076,71.02999878,50.27000046,50.40000153,32.02999878
2018/6/22,75.15000153,58.52000046,72.61000061,111.32,51.630001,84.93,27.06999969,70.80000305,50.49000168,50.75,32.31000137
2018/6/25,73.63999939,57.61000061,71.69000244,108.900002,51.889999,84.150002,26.78000069,69.33000183,49.45000076,51.59000015,32.22999954
2018/6/26,74.56999969,57.83000183,71.95999908,109.68,51.669998,83.889999,26.69000053,69.61000061,49.5320015,51.65000153,32.40000153
2018/6/27,75.56999969,57.65000153,71.37999725,108.260002,51.560001,83.18,26.36000061,68.66000366,49.09999847,51.90000153,32.31000137
2018/6/28,75.47000122,57.86999893,71.48000336,109.110001,51.560001,83.290001,26.59000015,69.5,49.59000015,51.88000107,32.63000107
2018/6/29,75.94000244,58.06999969,71.62999725,109.300003,51.529999,83.459999,26.59000015,69.47000122,49.52999878,51.95999908,32.70999908
2018/7/2,74.81999969,57.75999832,71.79000092,109.449997,51.23,83.720001,26.71999931,70.08999634,49.84000015,52.33000183,32.52000046
2018/7/3,75.29000092,57.65999985,71.55999756,108.900002,51.349998,83.919998,26.47999954,69.26000214,49.22999954,52.47999954,32.70999908
2018/7/5,75.20999908,58.15999985,71.91000366,109.440002,52.060001,84.790001,26.54000092,70.23999786,49.97999954,52.75999832,33.13999939
2018/7/6,75.66999817,58.45000076,72.16000366,110.300003,52.220001,86.010002,26.67000008,71.05999756,50.77000046,53.16999817,33.27999878
2018/7/9,76.80000305,58.97000122,73.5,111.620003,52.02,86.639999,27.28000069,71.59999847,51.06000137,51.52999878,32.97000122
2018/7/10,77.37000275,59.47000122,73.73000336,111.860001,52.639999,86.970001,27.18000031,71.76999664,51.03900146,52.02000046,33.13000107
2018/7/11,75.73000336,58.47000122,72.51999664,111.599998,52.470001,86.279999,27.04999924,71.48999786,50.97000122,52.49000168,33.02999878
2018/7/12,75.86000061,58.61000061,73.37000275,112.339996,52.400002,87.239998,27.10000038,72.62000275,51.77000046,52.52999878,33.11000061
2018/7/13,76.26000214,58.58000183,73.75,112.589996,52.740002,87.400002,26.97999954,72.54000092,51.68999863,52.54000092,33.0
2018/7/16,75.37999725,58.11000061,73.44999695,112.870003,52.490002,86.870003,27.45999908,72.37000275,51.54000092,52.49000168,32.81999969
2018/7/17,75.08000183,58.86999893,73.73999786,112.980003,52.939999,87.349998,27.48999977,72.91000366,51.54999924,52.45000076,32.59999847
2018/7/18,75.12999725,58.31999969,74.55000305,112.910004,52.509998,87.419998,27.93000031,72.79000092,51.40000153,52.18000031,32.47999954
2018/7/19,75.15000153,58.52999878,74.51999664,112.650002,52.540001,86.93,27.51000023,72.52999878,51.04000092,52.65999985,32.79000092
2018/7/20,74.88999939,58.29000092,74.44000244,112.150002,52.860001,86.760002,27.55999947,72.55000305,50.86999893,52.29000092,32.5
2018/7/23,74.55999756,57.97000122,73.98000336,112.029999,52.529999,86.940002,27.94000053,72.91999817,51.08000183,51.91999817,32.40999985
2018/7/24,75.5,58.72000122,74.29000092,111.699997,52.630001,87.730003,28.02000046,73.31999969,51.43999863,52.09999847,32.31999969
2018/7/25,76.12999725,59.18000031,75.41999817,112.519997,53.029999,88.849998,28.07999992,74.23999786,51.81000137,52.25,32.63999939
2018/7/26,76.95999908,59.52000046,76.0,111.93,53.310001,88.599998,28.06999969,73.09999847,49.85599899,52.81000137,32.75
2018/7/27,76.62999725,59.29999924,76.01000214,111.639999,53.380001,87.959999,28.12999916,71.84999847,48.90999985,52.63999939,32.45000076
