Date,energy,material,industrial,consumer_discretionary,consumer_staple,health_care,financial,IT,telecom,utility,real_estate
2002/2/11,205.3200073,138.3699951,250.5200043,241.3000031,221.1600037,378.6099854,341.9299927,341.9500122,144.3699951,133.8000031,92.48000336
2002/2/12,204.0099945,137.4100037,248.5500031,240.2299957,222.0200043,382.269989,339.8299866,337.0499878,143.5299988,134.8600006,91.61000061
2002/2/13,205.1199951,138.3099976,250.5500031,243.1799927,223.0899963,383.4200134,345.0599976,342.9200134,143.7200012,135.6499939,91.98999786
2002/2/14,206.3300018,137.5299988,249.8500061,243.6799927,224.0899963,381.1400146,345.7799988,340.2099915,142.5599976,135.0399933,92.47000122
2002/2/15,206.8399963,139.0700073,248.3200073,240.2799988,225.6600037,382.0400085,339.3699951,329.3800049,140.9900055,133.1000061,93.33000183
2002/2/19,204.7400055,136.4400024,244.8300018,236.0700073,223.7200012,376.8800049,330.6700134,319.0400085,139.3500061,131.4499969,91.68000031
2002/2/20,204.7799988,138.1900024,249.8699951,239.6900024,226.7200012,383.1900024,335.5599976,321.8800049,142.5700073,130.9600067,92.90000153
2002/2/21,206.3899994,139.1900024,249.2400055,237.1499939,224.4600067,380.2600098,330.4700012,306.1400146,138.1000061,130.7400055,91.98999786
2002/2/22,212.7400055,140.5800018,251.3099976,238.4600067,228.7700043,383.3200073,330.1199951,306.7799988,140.4600067,132.2200012,93.45999908
2002/2/25,215.2400055,141.1399994,257.4599915,242.4700012,231.1999969,382.0299988,338.2000122,317.8699951,144.8800049,131.9199982,93.86000061
2002/2/26,214.1399994,141.7899933,257.230011,243.7700043,230.5500031,381.8099976,339.3900146,315.8299866,144.6100006,133.6999969,93.48000336
2002/2/27,214.5399933,142.1999969,258.6900024,243.1399994,229.4499969,383.7000122,341.980011,311.9200134,144.6199951,134.3699951,93.65000153
2002/2/28,215.4400024,142.1699982,257.5,242.5899963,229.4700012,382.5799866,343.3800049,307.3399963,144.4700012,133.5399933,93.30999756
2002/3/1,218.6799927,144.1000061,263.6499939,246.9299927,232.8000031,388.1000061,347.6499939,324.6600037,147.1999969,135.9900055,94.13999939
2002/3/4,221.7799988,148.4600067,271.5400085,250.6900024,231.3399963,388.8699951,359.1000061,336.269989,147.5599976,138.8699951,95.25
2002/3/5,221.1900024,144.3399963,268.4700012,245.6100006,229.0,382.1499939,359.3500061,338.9899902,146.3099976,141.7899933,96.56999969
2002/3/6,225.3899994,146.8800049,274.8999939,248.3399963,229.7200012,387.6900024,365.1099854,341.7000122,150.3699951,144.6699982,97.08000183
2002/3/7,225.3800049,146.0800018,272.0,248.7400055,227.9499969,387.0499878,362.4500122,340.019989,148.8099976,145.6699982,97.0
2002/3/8,224.1900024,144.75,272.1799927,250.8800049,228.5099945,384.7200012,364.0499878,350.5899963,148.6100006,145.25,96.80999756
2002/3/11,227.4600067,145.3899994,274.8299866,251.2299957,228.1000061,385.8500061,366.0799866,349.2600098,149.3300018,146.0,96.12000275
2002/3/12,229.7299957,145.9299927,273.5899963,250.5800018,230.1199951,387.3900146,367.019989,342.2600098,148.5,144.6699982,96.38999939
