,energy,material,industrial,consumer_discretionary,consumer_staple,health_care,financial,IT,telecom,utility,real_estate
energy,1.00 ,0.77 ,0.73 ,0.62 ,0.57 ,0.59 ,0.64 ,0.59 ,0.54 ,0.55 ,0.51 
material,0.77 ,1.00 ,0.87 ,0.79 ,0.68 ,0.69 ,0.75 ,0.74 ,0.62 ,0.60 ,0.65 
industrial,0.73 ,0.87 ,1.00 ,0.86 ,0.74 ,0.76 ,0.83 ,0.80 ,0.68 ,0.62 ,0.70 
consumer_discretionary,0.62 ,0.79 ,0.86 ,1.00 ,0.73 ,0.75 ,0.79 ,0.84 ,0.71 ,0.58 ,0.70 
consumer_staple,0.57 ,0.68 ,0.74 ,0.73 ,1.00 ,0.76 ,0.64 ,0.66 ,0.64 ,0.69 ,0.60 
health_care,0.59 ,0.69 ,0.76 ,0.75 ,0.76 ,1.00 ,0.66 ,0.72 ,0.64 ,0.62 ,0.56 
financial,0.64 ,0.75 ,0.83 ,0.79 ,0.64 ,0.66 ,1.00 ,0.70 ,0.62 ,0.53 ,0.79 
IT,0.59 ,0.74 ,0.80 ,0.84 ,0.66 ,0.72 ,0.70 ,1.00 ,0.70 ,0.55 ,0.59 
telecom,0.54 ,0.62 ,0.68 ,0.71 ,0.64 ,0.64 ,0.62 ,0.70 ,1.00 ,0.57 ,0.54 
utility,0.55 ,0.60 ,0.62 ,0.58 ,0.69 ,0.62 ,0.53 ,0.55 ,0.57 ,1.00 ,0.56 
real_estate,0.51 ,0.65 ,0.70 ,0.70 ,0.60 ,0.56 ,0.79 ,0.59 ,0.54 ,0.56 ,1.00 
