,energy,material,industrial,consumer_discretionary,consumer_staple,health_care,financial,IT,telecom,utility,real_estate
energy,0.000333881,0.000216167,0.000182608,0.000156641,9.57E-05,0.000121927,0.000226604,0.000165279,0.00013624,0.000125687,0.000183229
material,0.000216167,0.000235924,0.000183297,0.000165676,9.61E-05,0.000120158,0.000222683,0.000173901,0.00013294,0.000115263,0.000195305
industrial,0.000182608,0.000183297,0.000188891,0.000161893,9.36E-05,0.000117692,0.000220189,0.000168178,0.000128991,0.000106754,0.000187924
consumer_discretionary,0.000156641,0.000165676,0.000161893,0.000188332,9.28E-05,0.000115946,0.000209567,0.000177124,0.000134597,9.94E-05,0.000189365
consumer_staple,9.57E-05,9.61E-05,9.36E-05,9.28E-05,8.55E-05,7.96E-05,0.000114758,9.32E-05,8.26E-05,8.07E-05,0.000109592
health_care,0.000121927,0.000120158,0.000117692,0.000115946,7.96E-05,0.000127735,0.000145508,0.000125187,0.000100103,8.76E-05,0.000124207
financial,0.000226604,0.000222683,0.000220189,0.000209567,0.000114758,0.000145508,0.000375161,0.000206774,0.000166858,0.000129984,0.000300951
IT,0.000165279,0.000173901,0.000168178,0.000177124,9.32E-05,0.000125187,0.000206774,0.000234945,0.000150066,0.000106181,0.000178788
telecom,0.00013624,0.00013294,0.000128991,0.000134597,8.26E-05,0.000100103,0.000166858,0.000150066,0.000193077,9.92E-05,0.000146585
utility,0.000125687,0.000115263,0.000106754,9.94E-05,8.07E-05,8.76E-05,0.000129984,0.000106181,9.92E-05,0.000157506,0.000139088
real_estate,0.000183229,0.000195305,0.000187924,0.000189365,0.000109592,0.000124207,0.000300951,0.000178788,0.000146585,0.000139088,0.000385456
